;;;;;;;;;;;;;;;;;;;;Moyenne;Variance;Ecart type;;m‚diance;;;;;;;
;;IdOp100;SN;Colonne2;Type;DateStart;OCV;ACIR;InsuP;InsuN;TC1;TC2;VC1;VC2;VC3;VC4;VC5;VC6;VC7;23.37;0.000277097;0.016646243;;23.37;;;;;;;
23.35;18.26094097;1696;0B5MEVA001A45JC9T0000082;349;3551;30/06/2023 10:53;23.36;2.51;9999;9999;23;23;3892;3894;3896;3893;3895;3894;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1695;0B5MEVA001A45JC9V0000132;348;3551;30/06/2023 10:53;23.36;2.52;9999;9999;23;23;3890;3892;3893;3896;3893;3893;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1694;0B5MEVA001A45JC9Y0000134;487;3551;30/06/2023 10:52;23.37;2.51;9999;9999;23;23;3893;3893;3895;3893;3893;3898;0;;;;23.74319228;;;;;;;;
23.35;23.74319228;1693;0B5MEVA001A45JC9Y0000014;486;3551;30/06/2023 10:51;23.37;2.54;9999;9999;23;23;3894;3894;3898;3894;3895;3894;0;;;;23.74319228;;;;;;;;
23.35;23.74319228;1692;0B5MEVA001A45JC9Y0000087;485;3551;30/06/2023 10:50;23.37;2.53;9999;9999;23;23;3894;3894;3894;3894;3893;3894;0;;;;23.74319228;;;;;;;;
23.35;9.789878366;1691;0B5MEVA001A45JC9V0000033;121;3551;30/06/2023 09:35;23.35;2.5;9999;9999;22;22;3893;3893;3894;3893;3890;3889;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1690;0B5MEVA001A45JC9Y0000142;347;3551;30/06/2023 09:28;23.36;2.51;9999;9999;23;22;3893;3894;3893;3894;3893;3894;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1689;0B5MEVA001A45JC9V0000067;120;3551;30/06/2023 09:27;23.35;2.51;9999;9999;23;23;3895;3892;3892;3892;3890;3890;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1688;0B5MEVA001A45JC9V0000069;119;3551;30/06/2023 09:25;23.35;2.54;9999;9999;22;23;3893;3893;3890;3893;3889;3893;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1687;0B5MEVA001A45JC9Y0000124;484;3551;30/06/2023 09:23;23.37;2.55;9999;9999;22;22;3895;3893;3899;3893;3894;3892;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1686;0B5MEVA001A45JC9V0000031;346;3551;30/06/2023 09:18;23.36;2.53;9999;9999;22;22;3892;3890;3894;3892;3892;3889;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1685;0B5MEVA001A45JC9V0000157;345;3551;30/06/2023 09:17;23.36;2.52;9999;9999;23;23;3894;3894;3892;3894;3894;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1684;0B5MEVA001A45JC9V0000198;344;3551;30/06/2023 09:15;23.36;2.54;9999;9999;22;22;3894;3889;3894;3895;3894;3892;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1683;0B5MEVA001A45JC9V0000158;343;3551;30/06/2023 09:13;23.36;2.53;9999;9999;23;23;3890;3894;3890;3893;3894;3893;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1682;0B5MEVA001A45JC9V0000016;118;3551;30/06/2023 09:10;23.35;2.52;9999;9999;22;22;3893;3892;3893;3893;3892;3889;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1681;0B5MEVA001A45JC9Y0000028;342;3551;29/06/2023 17:50;23.36;2.51;9999;9999;22;22;3895;3892;3893;3893;3894;3895;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1680;0B5MEVA001A45JC9Y0000073;341;3551;29/06/2023 17:50;23.36;2.53;9999;9999;22;22;3894;3895;3893;3893;3893;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1679;0B5MEVA001A45JC9X0000105;117;3551;29/06/2023 17:49;23.35;2.48;9999;9999;24;23;3893;3892;3894;3892;3888;3889;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1678;0B5MEVA001A45JC9V0000176;483;3551;29/06/2023 17:49;23.37;2.49;9999;9999;23;23;3895;3894;3893;3894;3893;3893;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1677;0B5MEVA001A45JC9W0000248;340;3551;29/06/2023 17:48;23.36;2.5;9999;9999;23;23;3894;3894;3893;3888;3894;3893;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1676;0B5MEVA001A45JC9X0000268;482;3551;29/06/2023 17:48;23.37;2.52;9999;9999;24;24;3893;3893;3896;3899;3895;3893;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1672;0B5MEVA001A45JC9Y0000073;339;3551;29/06/2023 17:13;23.36;2.5;9999;9999;24;24;3894;3894;3893;3893;3893;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1671;0B5MEVA001A45JC9X0000105;116;3551;29/06/2023 17:12;23.35;2.48;9999;9999;24;24;3893;3892;3894;3892;3888;3889;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1670;0B5MEVA001A45JC9V0000176;481;3551;29/06/2023 17:11;23.37;2.49;9999;9999;23;23;3895;3894;3893;3894;3893;3893;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1669;0B5MEVA001A45JC9W0000248;338;3551;29/06/2023 17:11;23.36;2.49;9999;9999;24;24;3894;3894;3893;3888;3894;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1668;0B5MEVA001A45JC9V0000158;337;3551;29/06/2023 17:11;23.36;2.51;9999;9999;24;24;3890;3894;3890;3893;3894;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1625;0B5MEVA001A45JC9T0000014;336;3551;27/06/2023 15:59;23.36;3.05;9999;9999;24;24;3892;3892;3892;3895;3894;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1624;0B5MEVA001A45JC9Y0000017;115;3551;27/06/2023 15:58;23.35;3.07;9999;9999;24;24;3894;3893;3890;3892;3889;3890;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1623;0B5MEVA001A45JC9Y0000158;480;3551;27/06/2023 15:57;23.37;3.12;9999;9999;24;24;3896;3894;3894;3894;3895;3895;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1622;0B5MEVA001A45JC9T0000076;335;3551;27/06/2023 15:56;23.36;3.07;9999;9999;24;24;3893;3893;3896;3893;3892;3892;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1621;0B5MEVA001A45JC9V0000090;479;3551;27/06/2023 15:55;23.37;3.12;9999;9999;24;24;3899;3898;3895;3895;3892;3889;0;;;;23.74319228;;;;;;;;
23.35;21.51915268;1620;0B5MEVA001A45JC9Y0000123;644;3551;27/06/2023 15:54;23.38;3.08;9999;9999;24;24;3892;3893;3895;3894;3895;3899;1;;;;21.51915268;;;;;;;;
23.35;3.658487198;1619;0B5MEVA001A45JC9W0000234;22;3551;27/06/2023 15:53;23.34;3.04;9999;9999;24;24;3893;3888;3889;3887;3892;3890;0;;;;3.658487198;;;;;;;;
23.35;9.789878366;1618;0B5MEVA001A45JC9W0000259;114;3551;27/06/2023 15:52;23.35;3.05;9999;9999;24;24;3889;3892;3892;3890;3890;3892;0;;;;9.789878366;;;;;;;;
23.35;3.658487198;1617;0B5MEVA001A45JC9W0000185;21;3551;27/06/2023 15:52;23.34;3.08;9999;9999;24;24;3892;3890;3893;3889;3889;3889;0;;;;3.658487198;;;;;;;;
23.35;9.789878366;1616;0B5MEVA001A45JC9Y0000122;113;3551;27/06/2023 15:51;23.35;3.07;9999;9999;24;24;3893;3894;3890;3890;3892;3892;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1615;0B5MEVA001A45JC9W0000240;334;3551;27/06/2023 15:50;23.36;3.04;9999;9999;24;24;3892;3894;3893;3893;3890;3895;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1614;0B5MEVA001A45JC9W0000204;112;3551;27/06/2023 15:50;23.35;3.06;9999;9999;24;24;3892;3892;3892;3890;3888;3890;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1613;0B5MEVA001A45JC9Y0000175;111;3551;27/06/2023 15:49;23.35;3.04;9999;9999;24;24;3892;3890;3890;3889;3889;3890;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1612;0B5MEVA001A45JC9X0000214;110;3551;27/06/2023 15:48;23.35;3.08;9999;9999;24;24;3890;3893;3893;3892;3892;3889;0;;;;9.789878366;;;;;;;;
23.35;3.658487198;1611;0B5MEVA001A45JC9W0000257;20;3551;27/06/2023 15:45;23.34;3.04;9999;9999;24;24;3889;3889;3890;3889;3890;3889;0;;;;3.658487198;;;;;;;;
23.35;3.658487198;1610;0B5MEVA001A45JC9W0000217;19;3551;27/06/2023 15:45;23.34;3.06;9999;9999;24;24;3890;3890;3890;3889;3892;3889;0;;;;3.658487198;;;;;;;;
23.35;18.26094097;1609;0B5MEVA001A45JC9Y0000284;333;3551;27/06/2023 15:30;23.36;3.07;9999;9999;24;24;3893;3892;3893;3892;3895;3893;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1608;0B5MEVA001A45JC9V0000339;478;3551;27/06/2023 15:29;23.37;3.09;9999;9999;24;24;3892;3893;3901;3893;3893;3898;0;;;;23.74319228;;;;;;;;
23.35;9.789878366;1607;0B5MEVA001A45JC9Y0000490;109;3551;27/06/2023 15:27;23.35;3.05;9999;9999;24;24;3893;3893;3892;3892;3890;3890;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1606;0B5MEVA001A45JC9Y0000111;332;3551;27/06/2023 15:26;23.36;3.04;9999;9999;24;24;3893;3896;3893;3893;3892;3889;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1605;0B5MEVA001A45JC9V0000338;108;3551;27/06/2023 15:24;23.35;3.06;9999;9999;24;24;3894;3893;3890;3889;3892;3889;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1604;0B5MEVA001A45JC9Y0000298;331;3551;27/06/2023 15:24;23.36;3.07;9999;9999;24;24;3896;3893;3892;3896;3892;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1603;0B5MEVA001A45JCA10000002;330;3551;27/06/2023 15:22;23.36;3.06;9999;9999;24;24;3892;3892;3894;3890;3892;3896;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1602;0B5MEVA001A45JC9Y0000334;329;3551;27/06/2023 15:22;23.36;3.08;9999;9999;24;24;3893;3892;3894;3894;3894;3892;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1601;0B5MEVA001A45JCA10000031;328;3551;27/06/2023 15:21;23.36;3.08;9999;9999;24;24;3894;3892;3893;3893;3893;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1600;0B5MEVA001A45JCA10000145;327;3551;27/06/2023 15:20;23.36;3.06;9999;9999;24;24;3893;3893;3894;3894;3893;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1599;0B5MEVA001A45JCA10000131;326;3551;27/06/2023 15:19;23.36;3.09;9999;9999;24;24;3895;3895;3894;3894;3893;3892;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1598;0B5MEVA001A45JCA10000012;325;3551;27/06/2023 15:19;23.36;3.06;9999;9999;24;24;3892;3893;3893;3893;3894;3892;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1597;0B5MEVA001A45JC9Y0000214;324;3551;27/06/2023 15:18;23.36;3.08;9999;9999;24;24;3892;3893;3896;3896;3885;3893;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1596;0B5MEVA001A45JC9Y0000368;107;3551;27/06/2023 15:17;23.35;3.09;9999;9999;24;24;3893;3892;3892;3889;3893;3893;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1595;0B5MEVA001A45JC9Y0000361;106;3551;27/06/2023 15:15;23.35;3.06;9999;9999;24;24;3893;3890;3890;3894;3892;3893;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1594;0B5MEVA001A45JCA10000014;323;3551;27/06/2023 15:15;23.36;3.08;9999;9999;24;24;3896;3892;3892;3894;3890;3892;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1593;0B5MEVA001A45JCA10000144;322;3551;27/06/2023 14:01;23.36;3.08;9999;9999;23;23;3893;3893;3894;3892;3893;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1592;0B5MEVA001A45JC9Y0000346;105;3551;27/06/2023 14:00;23.35;3.06;9999;9999;24;23;3893;3889;3893;3893;3893;3893;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1591;0B5MEVA001A45JC9Y0000343;104;3551;27/06/2023 13:59;23.35;3.07;9999;9999;24;24;3892;3892;3893;3893;3889;3892;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1590;0B5MEVA001A45JC9Y0000496;321;3551;27/06/2023 13:58;23.36;3.06;9999;9999;24;24;3892;3893;3894;3890;3892;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1589;0B5MEVA001A45JCA10000060;103;3551;27/06/2023 13:57;23.35;3.05;9999;9999;24;24;3892;3892;3890;3893;3889;3892;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1588;0B5MEVA001A45JC9Y0000314;477;3551;27/06/2023 13:57;23.37;3.07;9999;9999;24;24;3895;3892;3894;3895;3898;3892;0;;;;23.74319228;;;;;;;;
23.35;18.26094097;1587;0B5MEVA001A45JC9Y0000301;320;3551;27/06/2023 13:56;23.36;3.06;9999;9999;24;24;3894;3893;3893;3892;3892;3893;0;;;;18.26094097;;;;;;;;
23.35;23.74319228;1586;0B5MEVA001A45JC9Y0000267;476;3551;27/06/2023 13:55;23.37;3.06;9999;9999;24;24;3894;3893;3894;3894;3898;3892;0;;;;23.74319228;;;;;;;;
23.35;3.658487198;1585;0B5MEVA001A45JC9Y0000274;18;3551;27/06/2023 13:54;23.34;3.06;9999;9999;24;24;3894;3889;3887;3892;3892;3892;0;;;;3.658487198;;;;;;;;
23.35;9.789878366;1584;0B5MEVA001A45JC9Y0000189;102;3551;27/06/2023 13:53;23.35;3.07;9999;9999;24;24;3893;3892;3890;3890;3894;3890;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1583;0B5MEVA001A45JC9X0000514;101;3551;27/06/2023 13:52;23.35;3.06;9999;9999;24;24;3892;3892;3890;3892;3890;3889;0;;;;9.789878366;;;;;;;;
23.35;18.26094097;1582;0B5MEVA001A45JC9V0000182;319;3551;27/06/2023 13:51;23.36;3.08;9999;9999;24;24;3892;3890;3893;3894;3894;3893;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1581;0B5MEVA001A45JC9V0000210;318;3551;27/06/2023 13:51;23.36;3.09;9999;9999;24;24;3890;3893;3896;3898;3893;3894;0;;;;18.26094097;;;;;;;;
23.35;18.26094097;1580;0B5MEVA001A45JC9V0000194;317;3551;27/06/2023 11:28;23.36;3.08;9999;9999;23;23;3894;3890;3893;3894;3890;3892;0;;;;18.26094097;;;;;;;;
23.35;9.789878366;1579;0B5MEVA001A45JC9Y0000305;100;3551;27/06/2023 11:27;23.35;3.06;9999;9999;23;23;3893;3892;3892;3893;3892;3893;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1578;0B5MEVA001A45JC9Y0000410;99;3551;27/06/2023 11:26;23.35;3.07;9999;9999;23;23;3893;3893;3889;3894;3890;3895;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1577;0B5MEVA001A45JC9Y0000335;98;3551;27/06/2023 11:25;23.35;3.09;9999;9999;23;23;3892;3890;3892;3894;3892;3893;0;;;;9.789878366;;;;;;;;
23.35;23.74319228;1576;0B5MEVA001A45JC9Y0000336;475;3551;27/06/2023 11:24;23.37;3.09;9999;9999;23;23;3896;3900;3890;3896;3890;3893;0;;;;23.74319228;;;;;;;;
23.35;9.789878366;1575;0B5MEVA001A45JC9Y0000415;97;3551;27/06/2023 11:24;23.35;3.07;9999;9999;23;23;3890;3890;3890;3892;3890;3892;0;;;;9.789878366;;;;;;;;
23.35;9.789878366;1574;0B5MEVA001A45JCA10000069;96;3551;27/06/2023 11:23;23.35;3.08;9999;9999;23;23;3887;3890;3893;3893;3889;3893;0;;;;9.789878366;;;;;;;;
